Date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,Minyak Goreng Curah
01/05/2023,,"31,6","27,5",84,0,"6,1",3,320,0,C,14.950
02/05/2023,"24,2","33,6","27,1",85,0,"4,1",4,40,1,C,14.930
03/05/2023,"24,2","33,4","26,3",90,"11,6","7,5",5,30,1,C,14.960
04/05/2023,"24,2","32,5","26,8",88,"68,1","4,8",6,160,1,C,14.980
05/05/2023,"24,6","33,8","27,3",86,8888,"5,5",4,270,1,C,14.940
06/05/2023,"24,4","33,6","27,3",84,"0,2","7,2",4,190,1,C,14.940
07/05/2023,"23,6","32,8","26,5",90,,"4,4",3,120,1,C,14.870
08/05/2023,"23,8","31,7","26,3",90,"58,8","4,8",2,320,0,C,14.970
09/05/2023,"23,2","32,6","28,2",80,"26,9","3,3",2,80,0,C,14.950
10/05/2023,"23,1","33,6","28,3",80,0,"6,9",4,360,1,C,14.980
11/05/2023,"24,2","31,4","26,8",86,,"8,5",5,60,1,C,14.980
12/05/2023,"24,4","33,2","28,4",76,,"3,9",7,45,2,C,14.970
13/05/2023,24,"34,6","26,7",87,,"10,5",3,330,1,C,14.990
14/05/2023,"22,6","34,3","27,5",74,"12,8","7,9",2,50,1,C,14.960
15/05/2023,"22,4","32,6","26,9",79,0,7,3,50,1,C,14.980
16/05/2023,"22,8","33,4","27,2",74,,"8,7",3,300,1,C,14.960
17/05/2023,"22,7","33,4","26,8",78,0,"7,8",4,330,1,C,15.010
18/05/2023,"24,3","31,2","27,1",80,,"8,8",2,320,0,C,15.010
19/05/2023,,33,"26,8",84,,"1,8",7,40,1,C,15.000
20/05/2023,"24,4","32,4","27,6",82,"0,2","3,1",4,35,0,C,14.970
21/05/2023,"24,2","33,2","26,9",86,1,"3,6",3,200,0,C,14.970
22/05/2023,23,"33,3","26,4",83,3,0,4,310,1,C,14.960
23/05/2023,"23,9",33,"27,2",79,"1,3","8,9",4,20,1,C,14.930
24/05/2023,"23,6","32,8",27,82,0,"7,6",2,330,0,C,14.970
25/05/2023,"23,4",34,"25,9",84,0,"6,5",3,60,0,C,14.990
26/05/2023,23,"33,2","27,5",80,55,"7,8",3,350,0,C,14.990
27/05/2023,"23,4","31,3","26,6",87,"26,5","7,1",4,270,0,C,15.000
28/05/2023,24,"32,4","27,1",82,,"4,7",3,230,1,C,14.990
29/05/2023,"23,8","32,4","27,1",84,,"8,2",3,190,0,C,14.970
30/05/2023,"23,9","33,6","26,7",82,0,"5,4",3,40,1,C,14.960
31/05/2023,"22,1","33,8","27,4",76,"28,8",9,3,340,1,C,14.930
01/06/2023,"22,4","33,4","26,8",76,,"8,6",4,340,1,C,14.580
02/06/2023,"23,4","33,8","27,4",81,,"9,5",3,320,1,C,14.640
03/06/2023,"24,4",33,"27,7",83,8888,8,3,310,1,C,14.520
04/06/2023,"23,9","32,6","26,6",84,"59,3","5,7",4,350,1,C,14.570
05/06/2023,"23,8","33,8","26,1",86,"0,3","8,4",3,260,1,C,14.830
06/06/2023,"23,8","29,4","25,7",91,"34,2","7,4",4,230,1,C,14.550
07/06/2023,"22,4","32,2","26,7",83,"0,4","0,8",2,190,1,C,14.490
08/06/2023,"22,6","32,2","26,9",82,"3,5","8,7",4,40,1,C,14.690
09/06/2023,"22,4","32,8","26,5",81,0,"7,2",6,150,1,C,14.520
10/06/2023,"22,4","32,4","26,1",86,"13,3","9,4",3,40,0,C,14.610
11/06/2023,"22,4","33,3","26,8",78,,"8,3",3,360,0,C,14.600
12/06/2023,"22,6","32,6","27,5",79,,"9,6",4,40,1,C,14.590
13/06/2023,"23,5","33,4","26,9",84,,"8,6",5,300,1,C,14.820
14/06/2023,"23,8","31,4","25,4",89,"15,7","5,6",3,340,0,C,14.480
15/06/2023,"22,1","32,2","27,2",81,"16,5","3,9",5,50,1,C,14.510
16/06/2023,"24,4",29,"24,5",95,"2,6","6,1",2,160,0,C,14.490
17/06/2023,"22,4",30,"25,9",86,"10,1",0,4,80,0,C,14.430
18/06/2023,"23,3","32,4","26,3",86,,"0,4",4,320,1,C,14.470
19/06/2023,23,33,"25,7",91,"73,7","9,4",2,190,0,C,14.520
20/06/2023,"22,2","33,4","26,9",80,"15,1","5,7",3,30,0,C,14.590
21/06/2023,"23,6",33,"26,8",84,,"9,6",4,210,1,C,14.630
22/06/2023,24,33,"27,7",80,"3,6","7,2",3,180,1,C,14.520
